"wmi";"name";"id"
"2G9";"GNOME HOMES";1382
"2HG";"HONDA";1383
"2HH";"ACURA";1384
"2HJ";"HONDA";1385
"2HK";"HONDA";1386
"2HM";"HYUNDAI";1387
"2L9";"LES CONTENANTS DURABAC";1388
"2LN";"LINCOLN";1389
"2M";"MERCURY";1390
"2T";"TOYOTA";1391
"3F";"FORD";1392
"3G";"GENERAL MOTORS";1393
"VG6";"MACK";620
"3HG";"HONDA";1394
"3HM";"HONDA";1395
"3KP";"KIA";1396
"3N";"NISSAN";1397
"3VW";"VOLKSWAGEN";1398
"4F";"MAZDA";1399
"4J";"MERCEDES-BENZ";1400
"4M";"MERCURY";1401
"4S3";"SUBARU";1402
"4S4";"SUBARU";1403
"4S6";"HONDA";1404
"4T";"TOYOTA";1405
"VTM";"HONDA";633
"4US";"BMW";1406
"5FN";"HONDA";1407
"5J6";"HONDA";1408
"5L";"LINCOLN";1409
"5N1";"NISSAN";1410
"W06";"CADILLAC";639
"5NM";"HYUNDAI";1411
"5NP";"HYUNDAI";1412
"5T";"TOYOTA";1413
"WB1";"BMW";644
"5U";"BMW";1414
"5X";"HYUNDAI/KIA";1415
"WBY";"BMW";648
"WD0";"DODGE";649
"WD1";"DODGE";650
"WD2";"DODGE";651
"WD3";"MERCEDES-BENZ";652
"WD4";"MERCEDES-BENZ";653
"WD5";"DODGE";654
"WD8";"DODGE";655
"5YJ";"TESLA";1416
"55";"MERCEDES-BENZ";1417
"6F";"FORD";1418
"6G";"GENERAL MOTORS";1419
"WDP";"DODGE";660
"WDX";"DODGE";661
"WDY";"DODGE";662
"WDZ";"MERCEDES-BENZ";663
"6G1";"CHEVROLET";1420
"6G2";"PONTIAC";1421
"WF1";"MERKUR";666
"6H";"HOLDEN";1422
"6MM";"MITSUBISHI";1423
"6T1";"TOYOTA";1424
"6U9";"JAPANESE IMPORTS";1425
"7A1";"MITSUBISHI";1426
"7A3";"HONDA";1427
"7A4";"TOYOTA";1428
"7A5";"FORD";1429
"7A8";"NZ TRANSPORT AGENCY (PRE-2009)";1430
"7AT";"NZ TRANSPORT AGENCY (POST-2009)";1431
"8AP";"FIAT";1432
"8AF";"FORD";1433
"8AG";"GENERAL MOTORS";1434
"8AW";"VOLKSWAGEN";1435
"8AJ";"TOYOTA";1436
"XL9";"SPYKER";684
"8A1";"RENAULT";1437
"8AC";"MERCEDES BENZ";1438
"8BC";"CITROËN";1439
"8AD";"PEUGEOT";1440
"8C3";"HONDA";1441
"8AT";"IVECO";1442
"9BD";"FIAT AUTOMÓVEIS";1443
"9BG";"GENERAL MOTORS";1444
"9BW";"VOLKSWAGEN";1445
"YC1";"HONDA";699
"9BF";"FORD";1446
"YB3";"VOLVO";701
"93H";"HONDA";1447
"9BR";"TOYOTA";1448
"936";"PEUGEOT";1449
"935";"CITROËN";1450
"93Y";"RENAULT";1451
"93X";"SOUZA RAMOS - MITSUBISHI / SUZUKI";1452
"9BH";"HYUNDAI";1453
"95P";"CAOA / HYUNDAI";1454
"94D";"NISSAN";1455
"94N";"RWM BRAZIL";1456
"98R";"CHERY";1457
"988";"JEEP";1458
"YV5";"VOLVO";714
"98M";"BMW";1459
"9BM";"MERCEDES-BENZ";1460
"99A";"AUDI";1461
"99J";"JAGUAR LAND ROVER";1462
"9C2";"HONDA MOTORCYCLES";1463
"9C6";"YAMAHA";1464
"ZC2";"CHRYSLER";722
"9CD";"SUZUKI (MOTORCYCLES)";1465
"93W";"FIAT PROFESSIONAL";1466
"ZDC";"HONDA";725
"93Z";"IVECO";1467
"953";"VW TRUCKS / MAN";1468
"9BS";"SCANIA";1469
"9BV";"VOLVO TRUCKS";1470
"9FB";"RENAULT";1471
"9UJ";"CHERY";1472
"9UK";"LIFAN";1473
"9UW";"KIA";1474
"AC5";"HYUNDAI SOUTH AFRICA";743
"ADD";"HYUNDAI SOUTH AFRICA";744
"JA3";"MITSUBISHI";747
"JA4";"MITSUBISHI";748
"JD";"DAIHATSU";750
"JF";"FUJI HEAVY INDUSTRIES (SUBARU)";751
"JH";"HONDA";752
"JK";"KAWASAKI (MOTORCYCLES)";753
"JL5";"MITSUBISHI FUSO";754
"JMY";"MITSUBISHI MOTORS";756
"JMZ";"MAZDA";757
"KM";"HYUNDAI";763
"KMY";"DAELIM (MOTORCYCLES)";764
"KM1";"HYOSUNG (MOTORCYCLES)";765
"KNM";"RENAULT SAMSUNG";767
"KPA";"SSANGYONG";768
"LAN";"CHANGZHOU YAMASAKI MOTORCYCLE";770
"LBB";"ZHEJIANG QIANJIANG MOTORCYCLE (KEEWAY/GENERIC)";771
"LBM";"ZONGSHEN PIAGGIO";773
"LBP";"CHONGQING JAINSHE YAMAHA (MOTORCYCLES)";774
"LB2";"GEELY MOTORCYCLES";775
"LCE";"HANGZHOU CHUNFENG MOTORCYCLES (CFMOTO)";776
"LDD";"DANDONG HUANGHAI AUTOMOBILE";778
"LDN";"SOUEAST MOTOR";779
"LDY";"ZHONGTONG COACH";780
"LET";"JIANGLING-ISUZU MOTORS";781
"LFB";"FAW";783
"LFG";"TAIZHOU CHUANL MOTORCYCLE MANUFACTURING";784
"LFT";"FAW";786
"LFW";"FAW JIEFANG";788
"LFY";"CHANGSHU LIGHT MOTORCYCLE FACTORY";789
"LGH";"QOROS (FORMERLY DONG FENG (DFM))";791
"LHB";"BEIJING AUTOMOTIVE INDUSTRY HOLDING";793
"LJC";"JAC";795
"LKL";"SUZHOU KING LONG";797
"LL6";"HUNAN CHANGFENG MANUFACTURE JOINT-STOCK";798
"LL8";"LINHAI (ATV)";799
"LMC";"SUZUKI HONG KONG (MOTORCYCLES)";800
"LPR";"YAMAHA HONG KONG (MOTORCYCLES)";801
"LSY";"BRILLIANCE ZHONGHUA";805
"LUC";"GUANGQI HONDA";807
"LVZ";"DONG FENG SOKON MOTOR COMPANY (DFSK)";810
"LZM";"MAN CHINA";811
"LZE";"ISUZU GUANGZHOU";812
"LZG";"SHAANXI AUTOMOBILE GROUP";813
"LZP";"ZHONGSHAN GUOCHI MOTORCYCLE (BAOTIAN)";814
"LZZ";"CHONGQING SHUANGZING MECH & ELEC (HOWO)";816
"L4B";"XINGYUE GROUP (MOTORCYCLES)";817
"L5C";"KANGDI (ATV)";818
"L5K";"ZHEJIANG YONGKANG EASY VEHICLE";819
"L5N";"ZHEJIANG TAOTAO";820
"L5Y";"MERATO MOTORCYCLE TAIZHOU ZHONGNENG";821
"L85";"ZHEJIANG YONGKANG HUABAO ELECTRIC APPLIANCE";822
"L8X";"ZHEJIANG SUMMIT HUAWIN MOTORCYCLE";823
"MAB";"MAHINDRA & MAHINDRA";824
"MAC";"MAHINDRA & MAHINDRA";825
"MAJ";"FORD INDIA";826
"MAK";"HONDA SIEL CARS INDIA";827
"MAL";"HYUNDAI";828
"MAT";"TATA MOTORS";829
"MA1";"MAHINDRA & MAHINDRA";830
"MA3";"SUZUKI INDIA (MARUTI)";831
"MA6";"GM INDIA";832
"MA7";"MITSUBISHI INDIA (FORMERLY HONDA)";833
"MBH";"SUZUKI INDIA (MARUTI)";834
"MBJ";"TOYOTA INDIA";835
"MBR";"MERCEDES-BENZ INDIA";836
"MB1";"ASHOK LEYLAND";837
"MCA";"FIAT INDIA";838
"MCB";"GM INDIA";839
"MC2";"VOLVO EICHER COMMERCIAL VEHICLES LIMITED.";840
"MDH";"NISSAN INDIA";841
"MD2";"BAJAJ AUTO";842
"MEE";"RENAULT INDIA";843
"MEX";"VOLKSWAGEN INDIA";844
"MHF";"TOYOTA INDONESIA";845
"MHR";"HONDA INDONESIA";846
"MLC";"SUZUKI THAILAND";847
"MLH";"HONDA THAILAND";848
"MMC";"MITSUBISHI THAILAND";850
"MMM";"CHEVROLET THAILAND";851
"MMT";"MITSUBISHI THAILAND";852
"MM8";"MAZDA THAILAND";853
"MNB";"FORD THAILAND";854
"MPA";"ISUZU THAILAND";856
"MP1";"ISUZU THAILAND";857
"MR0";"TOYOTA THAILAND";859
"NLA";"HONDA TÜRKIYE";860
"NLE";"MERCEDES-BENZ TÜRK TRUCK";861
"NLH";"HYUNDAI ASSAN";862
"NM4";"TOFAŞ TÜRK";864
"PE1";"FORD PHILLIPINES";866
"PE3";"MAZDA PHILLIPINES";867
"RFB";"KYMCO";870
"RFG";"SANYANG SYM";871
"RFL";"ADLY";872
"RFT";"CPI";873
"RF3";"AEON MOTOR";874
"SCA";"ROLLS ROYCE";880
"SCB";"BENTLEY";881
"SDB";"PEUGEOT UK (FORMERLY TALBOT)";885
"SED";"GENERAL MOTORS LUTON PLANT";886
"SEY";"LDV";887
"SFA";"FORD UK";888
"SKF";"VAUXHALL";893
"SLP";"JCB RESEARCH UK";894
"SMT";"TRIUMPH MOTORCYCLES";895
"SUF";"FIAT AUTO POLAND";896
"SUL";"FSC (POLAND)";897
"SUP";"FSO-DAEWOO (POLAND)";898
"SUU";"SOLARIS BUS & COACH (POLAND)";899
"TDM";"QUANTYA SWISS ELECTRIC MOVEMENT (SWITZERLAND)";901
"TMK";"KAROSA (CZECH REPUBLIC)";904
"TMP";"ŠKODA TROLLEYBUSES (CZECH REPUBLIC)";905
"TMT";"TATRA (CZECH REPUBLIC)";906
